customer_id,customer_name,email,country,signup_date,year,month,account_age,Status
83,Customer 83,customer83@example.com,Slovenia,4/30/2020,2020,April,"5 Years, 7 Months, 11 Days",old
84,Customer 84,customer84@example.com,Croatia,2/15/2022,2022,February,"3 Years, 9 Months, 26 Days",old
85,Customer 85,customer85@example.com,Serbia,3/10/2022,2022,March,"3 Years, 9 Months, 1 Days",old
86,Customer 86,customer86@example.com,Bosnia,7/20/2022,2022,July,"3 Years, 4 Months, 21 Days",old
87,Customer 87,customer87@example.com,Bosnia,5/16/2022,2022,May,"3 Years, 6 Months, 25 Days",old
88,Customer 88,customer88@example.com,Germany,2/5/2024,2024,February,"1 Years, 10 Months, 6 Days",young
89,Customer 89,customer89@example.com,Austria,9/17/2023,2023,September,"2 Years, 2 Months, 24 Days",young
90,Customer 90,customer90@example.com,Germany,9/23/2022,2022,September,"3 Years, 2 Months, 18 Days",old
91,Customer 91,customer91@example.com,Croatia,1/23/2021,2021,January,"4 Years, 10 Months, 18 Days",old
92,Customer 92,customer92@example.com,Bosnia,3/21/2021,2021,March,"4 Years, 8 Months, 20 Days",old
93,Customer 93,customer93@example.com,Serbia,4/1/2023,2023,April,"2 Years, 8 Months, 10 Days",old
94,Customer 94,customer94@example.com,Germany,1/15/2023,2023,January,"2 Years, 10 Months, 26 Days",old
95,Customer 95,customer95@example.com,Serbia,10/4/2021,2021,October,"4 Years, 2 Months, 7 Days",old
96,Customer 96,customer96@example.com,Serbia,4/12/2020,2020,April,"5 Years, 7 Months, 29 Days",old
97,Customer 97,customer97@example.com,Austria,9/3/2022,2022,September,"3 Years, 3 Months, 8 Days",old
98,Customer 98,customer98@example.com,Austria,12/23/2022,2022,December,"2 Years, 11 Months, 18 Days",old
99,Customer 99,customer99@example.com,Croatia,4/26/2020,2020,April,"5 Years, 7 Months, 15 Days",old
100,Customer 100,customer100@example.com,Austria,6/13/2020,2020,June,"5 Years, 5 Months, 28 Days",old
101,Customer 101,customer101@example.com,Croatia,5/20/2020,2020,May,"5 Years, 6 Months, 21 Days",old
102,Customer 102,customer102@example.com,Austria,5/19/2020,2020,May,"5 Years, 6 Months, 22 Days",old
103,Customer 103,customer103@example.com,Germany,4/26/2021,2021,April,"4 Years, 7 Months, 15 Days",old
104,Customer 104,customer104@example.com,Slovenia,9/2/2020,2020,September,"5 Years, 3 Months, 9 Days",old
105,Customer 105,customer105@example.com,Austria,5/19/2021,2021,May,"4 Years, 6 Months, 22 Days",old
106,Customer 106,customer106@example.com,Austria,5/2/2023,2023,May,"2 Years, 7 Months, 9 Days",old
107,Customer 107,customer107@example.com,Serbia,6/22/2023,2023,June,"2 Years, 5 Months, 19 Days",young
108,Customer 108,customer108@example.com,Serbia,5/8/2022,2022,May,"3 Years, 7 Months, 3 Days",old
109,Customer 109,customer109@example.com,Germany,4/10/2023,2023,April,"2 Years, 8 Months, 1 Days",old
110,Customer 110,customer110@example.com,Austria,12/6/2022,2022,December,"3 Years, 0 Months, 5 Days",old
111,Customer 111,customer111@example.com,Bosnia,6/18/2021,2021,June,"4 Years, 5 Months, 23 Days",old
112,Customer 112,customer112@example.com,Croatia,10/3/2023,2023,October,"2 Years, 2 Months, 8 Days",young
113,Customer 113,customer113@example.com,Germany,10/5/2021,2021,October,"4 Years, 2 Months, 6 Days",old
114,Customer 114,customer114@example.com,Croatia,6/27/2021,2021,June,"4 Years, 5 Months, 14 Days",old
115,Customer 115,customer115@example.com,Slovenia,9/25/2020,2020,September,"5 Years, 2 Months, 16 Days",old
116,Customer 116,customer116@example.com,Germany,8/14/2023,2023,August,"2 Years, 3 Months, 27 Days",young
117,Customer 117,customer117@example.com,Bosnia,7/25/2022,2022,July,"3 Years, 4 Months, 16 Days",old
118,Customer 118,customer118@example.com,Bosnia,5/28/2020,2020,May,"5 Years, 6 Months, 13 Days",old
119,Customer 119,customer119@example.com,Serbia,7/27/2022,2022,July,"3 Years, 4 Months, 14 Days",old
120,Customer 120,customer120@example.com,Austria,2/27/2023,2023,February,"2 Years, 9 Months, 14 Days",old
121,Customer 121,customer121@example.com,Serbia,5/30/2020,2020,May,"5 Years, 6 Months, 11 Days",old
122,Customer 122,customer122@example.com,Austria,3/12/2021,2021,March,"4 Years, 8 Months, 29 Days",old
123,Customer 123,customer123@example.com,Austria,6/27/2021,2021,June,"4 Years, 5 Months, 14 Days",old
124,Customer 124,customer124@example.com,Croatia,12/15/2021,2021,December,"3 Years, 11 Months, 26 Days",old
125,Customer 125,customer125@example.com,Serbia,5/15/2021,2021,May,"4 Years, 6 Months, 26 Days",old
126,Customer 126,customer126@example.com,Bosnia,8/6/2021,2021,August,"4 Years, 4 Months, 5 Days",old
127,Customer 127,customer127@example.com,Croatia,6/16/2022,2022,June,"3 Years, 5 Months, 25 Days",old
128,Customer 128,customer128@example.com,Austria,12/11/2023,2023,December,"2 Years, 0 Months, 0 Days",young
129,Customer 129,customer129@example.com,Bosnia,6/6/2023,2023,June,"2 Years, 6 Months, 5 Days",old
130,Customer 130,customer130@example.com,Germany,12/19/2022,2022,December,"2 Years, 11 Months, 22 Days",old
131,Customer 131,customer131@example.com,Serbia,9/29/2023,2023,September,"2 Years, 2 Months, 12 Days",young
132,Customer 132,customer132@example.com,Austria,9/5/2021,2021,September,"4 Years, 3 Months, 6 Days",old
133,Customer 133,customer133@example.com,Germany,7/31/2020,2020,July,"5 Years, 4 Months, 10 Days",old
134,Customer 134,customer134@example.com,Croatia,6/25/2021,2021,June,"4 Years, 5 Months, 16 Days",old
135,Customer 135,customer135@example.com,Serbia,8/7/2020,2020,August,"5 Years, 4 Months, 4 Days",old
136,Customer 136,customer136@example.com,Germany,2/7/2023,2023,February,"2 Years, 10 Months, 4 Days",old
137,Customer 137,customer137@example.com,Croatia,7/11/2021,2021,July,"4 Years, 5 Months, 0 Days",old
138,Customer 138,customer138@example.com,Bosnia,5/23/2023,2023,May,"2 Years, 6 Months, 18 Days",old
139,Customer 139,customer139@example.com,Croatia,1/9/2024,2024,January,"1 Years, 11 Months, 2 Days",young
140,Customer 140,customer140@example.com,Bosnia,2/20/2021,2021,February,"4 Years, 9 Months, 21 Days",old
141,Customer 141,customer141@example.com,Germany,7/22/2023,2023,July,"2 Years, 4 Months, 19 Days",young
142,Customer 142,customer142@example.com,Bosnia,11/1/2022,2022,November,"3 Years, 1 Months, 10 Days",old
143,Customer 143,customer143@example.com,Slovenia,5/29/2021,2021,May,"4 Years, 6 Months, 12 Days",old
144,Customer 144,customer144@example.com,Serbia,7/8/2020,2020,July,"5 Years, 5 Months, 3 Days",old
145,Customer 145,customer145@example.com,Germany,5/17/2022,2022,May,"3 Years, 6 Months, 24 Days",old
146,Customer 146,customer146@example.com,Bosnia,3/31/2020,2020,March,"5 Years, 8 Months, 10 Days",old
147,Customer 147,customer147@example.com,Serbia,11/14/2021,2021,November,"4 Years, 0 Months, 27 Days",old
148,Customer 148,customer148@example.com,Croatia,7/28/2023,2023,July,"2 Years, 4 Months, 13 Days",young
149,Customer 149,customer149@example.com,Bosnia,11/26/2020,2020,November,"5 Years, 0 Months, 15 Days",old
150,Customer 150,customer150@example.com,Germany,6/23/2022,2022,June,"3 Years, 5 Months, 18 Days",old
151,Customer 151,customer151@example.com,Austria,12/16/2023,2023,December,"1 Years, 11 Months, 25 Days",young
152,Customer 152,customer152@example.com,Slovenia,2/22/2023,2023,February,"2 Years, 9 Months, 19 Days",old
153,Customer 153,customer153@example.com,Serbia,8/17/2020,2020,August,"5 Years, 3 Months, 24 Days",old
154,Customer 154,customer154@example.com,Serbia,11/16/2023,2023,November,"2 Years, 0 Months, 25 Days",young
155,Customer 155,customer155@example.com,Croatia,1/22/2023,2023,January,"2 Years, 10 Months, 19 Days",old
156,Customer 156,customer156@example.com,Serbia,1/26/2022,2022,January,"3 Years, 10 Months, 15 Days",old
157,Customer 157,customer157@example.com,Austria,2/5/2023,2023,February,"2 Years, 10 Months, 6 Days",old
158,Customer 158,customer158@example.com,Croatia,5/30/2022,2022,May,"3 Years, 6 Months, 11 Days",old
159,Customer 159,customer159@example.com,Croatia,3/26/2020,2020,March,"5 Years, 8 Months, 15 Days",old
160,Customer 160,customer160@example.com,Bosnia,1/16/2022,2022,January,"3 Years, 10 Months, 25 Days",old
161,Customer 161,customer161@example.com,Serbia,1/2/2022,2022,January,"3 Years, 11 Months, 9 Days",old
162,Customer 162,customer162@example.com,Croatia,10/28/2023,2023,October,"2 Years, 1 Months, 13 Days",young
163,Customer 163,customer163@example.com,Croatia,9/27/2023,2023,September,"2 Years, 2 Months, 14 Days",young
164,Customer 164,customer164@example.com,Serbia,12/25/2021,2021,December,"3 Years, 11 Months, 16 Days",old
165,Customer 165,customer165@example.com,Austria,4/12/2022,2022,April,"3 Years, 7 Months, 29 Days",old
166,Customer 166,customer166@example.com,Austria,11/12/2020,2020,November,"5 Years, 0 Months, 29 Days",old
167,Customer 167,customer167@example.com,Croatia,11/28/2020,2020,November,"5 Years, 0 Months, 13 Days",old
168,Customer 168,customer168@example.com,Croatia,4/24/2022,2022,April,"3 Years, 7 Months, 17 Days",old
169,Customer 169,customer169@example.com,Serbia,1/2/2021,2021,January,"4 Years, 11 Months, 9 Days",old
170,Customer 170,customer170@example.com,Germany,11/11/2021,2021,November,"4 Years, 1 Months, 0 Days",old
171,Customer 171,customer171@example.com,Slovenia,10/3/2023,2023,October,"2 Years, 2 Months, 8 Days",young
172,Customer 172,customer172@example.com,Germany,5/23/2021,2021,May,"4 Years, 6 Months, 18 Days",old
173,Customer 173,customer173@example.com,Bosnia,11/22/2020,2020,November,"5 Years, 0 Months, 19 Days",old
174,Customer 174,customer174@example.com,Germany,8/9/2020,2020,August,"5 Years, 4 Months, 2 Days",old
175,Customer 175,customer175@example.com,Slovenia,3/20/2020,2020,March,"5 Years, 8 Months, 21 Days",old
176,Customer 176,customer176@example.com,Slovenia,3/31/2021,2021,March,"4 Years, 8 Months, 10 Days",old
177,Customer 177,customer177@example.com,Croatia,7/31/2022,2022,July,"3 Years, 4 Months, 10 Days",old
178,Customer 178,customer178@example.com,Bosnia,9/17/2021,2021,September,"4 Years, 2 Months, 24 Days",old
179,Customer 179,customer179@example.com,Croatia,4/1/2021,2021,April,"4 Years, 8 Months, 10 Days",old
180,Customer 180,customer180@example.com,Serbia,9/13/2023,2023,September,"2 Years, 2 Months, 28 Days",young
181,Customer 181,customer181@example.com,Croatia,3/27/2022,2022,March,"3 Years, 8 Months, 14 Days",old
182,Customer 182,customer182@example.com,Bosnia,7/24/2021,2021,July,"4 Years, 4 Months, 17 Days",old
183,Customer 183,customer183@example.com,Serbia,7/25/2021,2021,July,"4 Years, 4 Months, 16 Days",old
184,Customer 184,customer184@example.com,Bosnia,8/6/2023,2023,August,"2 Years, 4 Months, 5 Days",young
185,Customer 185,customer185@example.com,Austria,3/29/2022,2022,March,"3 Years, 8 Months, 12 Days",old
186,Customer 186,customer186@example.com,Germany,1/3/2023,2023,January,"2 Years, 11 Months, 8 Days",old
187,Customer 187,customer187@example.com,Bosnia,2/26/2020,2020,February,"5 Years, 9 Months, 15 Days",old
188,Customer 188,customer188@example.com,Serbia,6/18/2021,2021,June,"4 Years, 5 Months, 23 Days",old
189,Customer 189,customer189@example.com,Croatia,4/4/2023,2023,April,"2 Years, 8 Months, 7 Days",old
190,Customer 190,customer190@example.com,Bosnia,3/19/2020,2020,March,"5 Years, 8 Months, 22 Days",old
191,Customer 191,customer191@example.com,Serbia,5/6/2023,2023,May,"2 Years, 7 Months, 5 Days",old
192,Customer 192,customer192@example.com,Slovenia,12/8/2021,2021,December,"4 Years, 0 Months, 3 Days",old
193,Customer 193,customer193@example.com,Germany,10/4/2021,2021,October,"4 Years, 2 Months, 7 Days",old
194,Customer 194,customer194@example.com,Slovenia,5/26/2023,2023,May,"2 Years, 6 Months, 15 Days",old
195,Customer 195,customer195@example.com,Austria,8/24/2020,2020,August,"5 Years, 3 Months, 17 Days",old
196,Customer 196,customer196@example.com,Slovenia,3/26/2023,2023,March,"2 Years, 8 Months, 15 Days",old
197,Customer 197,customer197@example.com,Croatia,6/5/2021,2021,June,"4 Years, 6 Months, 6 Days",old
198,Customer 198,customer198@example.com,Serbia,12/22/2023,2023,December,"1 Years, 11 Months, 19 Days",young
199,Customer 199,customer199@example.com,Slovenia,1/4/2020,2020,January,"5 Years, 11 Months, 7 Days",old
200,Customer 200,customer200@example.com,Austria,1/7/2023,2023,January,"2 Years, 11 Months, 4 Days",old
201,Customer 201,customer201@example.com,Germany,1/13/2024,2024,January,"1 Years, 10 Months, 28 Days",young
202,Customer 202,customer202@example.com,Germany,10/5/2023,2023,October,"2 Years, 2 Months, 6 Days",young
203,Customer 203,customer203@example.com,Croatia,1/15/2022,2022,January,"3 Years, 10 Months, 26 Days",old
204,Customer 204,customer204@example.com,Slovenia,5/23/2020,2020,May,"5 Years, 6 Months, 18 Days",old
205,Customer 205,customer205@example.com,Germany,11/7/2021,2021,November,"4 Years, 1 Months, 4 Days",old
206,Customer 206,customer206@example.com,Austria,10/4/2021,2021,October,"4 Years, 2 Months, 7 Days",old
207,Customer 207,customer207@example.com,Germany,9/12/2020,2020,September,"5 Years, 2 Months, 29 Days",old
208,Customer 208,customer208@example.com,Germany,9/7/2021,2021,September,"4 Years, 3 Months, 4 Days",old
209,Customer 209,customer209@example.com,Austria,9/25/2021,2021,September,"4 Years, 2 Months, 16 Days",old
210,Customer 210,customer210@example.com,Germany,4/16/2022,2022,April,"3 Years, 7 Months, 25 Days",old
211,Customer 211,customer211@example.com,Bosnia,4/4/2022,2022,April,"3 Years, 8 Months, 7 Days",old
212,Customer 212,customer212@example.com,Germany,8/28/2021,2021,August,"4 Years, 3 Months, 13 Days",old
213,Customer 213,customer213@example.com,Austria,9/17/2020,2020,September,"5 Years, 2 Months, 24 Days",old
214,Customer 214,customer214@example.com,Croatia,5/11/2022,2022,May,"3 Years, 7 Months, 0 Days",old
215,Customer 215,customer215@example.com,Germany,2/15/2022,2022,February,"3 Years, 9 Months, 26 Days",old
216,Customer 216,customer216@example.com,Germany,12/22/2020,2020,December,"4 Years, 11 Months, 19 Days",old
217,Customer 217,customer217@example.com,Austria,3/11/2023,2023,March,"2 Years, 9 Months, 0 Days",old
218,Customer 218,customer218@example.com,Bosnia,4/11/2022,2022,April,"3 Years, 8 Months, 0 Days",old
219,Customer 219,customer219@example.com,Austria,1/1/2020,2020,January,"5 Years, 11 Months, 10 Days",old
220,Customer 220,customer220@example.com,Bosnia,8/10/2021,2021,August,"4 Years, 4 Months, 1 Days",old
221,Customer 221,customer221@example.com,Croatia,5/30/2022,2022,May,"3 Years, 6 Months, 11 Days",old
222,Customer 222,customer222@example.com,Austria,5/27/2023,2023,May,"2 Years, 6 Months, 14 Days",old
223,Customer 223,customer223@example.com,Germany,10/21/2021,2021,October,"4 Years, 1 Months, 20 Days",old
224,Customer 224,customer224@example.com,Slovenia,6/23/2022,2022,June,"3 Years, 5 Months, 18 Days",old
225,Customer 225,customer225@example.com,Slovenia,10/15/2023,2023,October,"2 Years, 1 Months, 26 Days",young
226,Customer 226,customer226@example.com,Croatia,11/12/2022,2022,November,"3 Years, 0 Months, 29 Days",old
227,Customer 227,customer227@example.com,Slovenia,12/13/2020,2020,December,"4 Years, 11 Months, 28 Days",old
228,Customer 228,customer228@example.com,Germany,6/22/2020,2020,June,"5 Years, 5 Months, 19 Days",old
229,Customer 229,customer229@example.com,Bosnia,11/21/2022,2022,November,"3 Years, 0 Months, 20 Days",old
230,Customer 230,customer230@example.com,Germany,7/20/2023,2023,July,"2 Years, 4 Months, 21 Days",young
231,Customer 231,customer231@example.com,Austria,11/17/2021,2021,November,"4 Years, 0 Months, 24 Days",old
232,Customer 232,customer232@example.com,Serbia,4/26/2021,2021,April,"4 Years, 7 Months, 15 Days",old
233,Customer 233,customer233@example.com,Germany,9/27/2021,2021,September,"4 Years, 2 Months, 14 Days",old
234,Customer 234,customer234@example.com,Croatia,2/11/2021,2021,February,"4 Years, 10 Months, 0 Days",old
235,Customer 235,customer235@example.com,Croatia,2/20/2020,2020,February,"5 Years, 9 Months, 21 Days",old
236,Customer 236,customer236@example.com,Serbia,5/16/2021,2021,May,"4 Years, 6 Months, 25 Days",old
237,Customer 237,customer237@example.com,Slovenia,6/5/2023,2023,June,"2 Years, 6 Months, 6 Days",old
238,Customer 238,customer238@example.com,Serbia,7/21/2022,2022,July,"3 Years, 4 Months, 20 Days",old
239,Customer 239,customer239@example.com,Slovenia,7/13/2023,2023,July,"2 Years, 4 Months, 28 Days",young
240,Customer 240,customer240@example.com,Austria,2/2/2021,2021,February,"4 Years, 10 Months, 9 Days",old
241,Customer 241,customer241@example.com,Germany,11/27/2023,2023,November,"2 Years, 0 Months, 14 Days",young
242,Customer 242,customer242@example.com,Slovenia,10/9/2022,2022,October,"3 Years, 2 Months, 2 Days",old
243,Customer 243,customer243@example.com,Slovenia,5/14/2021,2021,May,"4 Years, 6 Months, 27 Days",old
244,Customer 244,customer244@example.com,Croatia,9/5/2023,2023,September,"2 Years, 3 Months, 6 Days",young
245,Customer 245,customer245@example.com,Germany,1/12/2020,2020,January,"5 Years, 10 Months, 29 Days",old
246,Customer 246,customer246@example.com,Serbia,5/20/2022,2022,May,"3 Years, 6 Months, 21 Days",old
247,Customer 247,customer247@example.com,Croatia,12/26/2020,2020,December,"4 Years, 11 Months, 15 Days",old
248,Customer 248,customer248@example.com,Germany,11/26/2022,2022,November,"3 Years, 0 Months, 15 Days",old
249,Customer 249,customer249@example.com,Slovenia,4/12/2020,2020,April,"5 Years, 7 Months, 29 Days",old
250,Customer 250,customer250@example.com,Austria,5/25/2021,2021,May,"4 Years, 6 Months, 16 Days",old
251,Customer 251,customer251@example.com,Serbia,7/23/2022,2022,July,"3 Years, 4 Months, 18 Days",old
252,Customer 252,customer252@example.com,Croatia,8/9/2022,2022,August,"3 Years, 4 Months, 2 Days",old
253,Customer 253,customer253@example.com,Germany,12/23/2022,2022,December,"2 Years, 11 Months, 18 Days",old
254,Customer 254,customer254@example.com,Austria,5/4/2023,2023,May,"2 Years, 7 Months, 7 Days",old
255,Customer 255,customer255@example.com,Bosnia,6/25/2022,2022,June,"3 Years, 5 Months, 16 Days",old
256,Customer 256,customer256@example.com,Austria,1/13/2024,2024,January,"1 Years, 10 Months, 28 Days",young
257,Customer 257,customer257@example.com,Austria,5/23/2022,2022,May,"3 Years, 6 Months, 18 Days",old
258,Customer 258,customer258@example.com,Austria,7/2/2022,2022,July,"3 Years, 5 Months, 9 Days",old
259,Customer 259,customer259@example.com,Croatia,8/30/2022,2022,August,"3 Years, 3 Months, 11 Days",old
260,Customer 260,customer260@example.com,Slovenia,6/14/2021,2021,June,"4 Years, 5 Months, 27 Days",old
261,Customer 261,customer261@example.com,Croatia,7/29/2023,2023,July,"2 Years, 4 Months, 12 Days",young
262,Customer 262,customer262@example.com,Bosnia,12/3/2022,2022,December,"3 Years, 0 Months, 8 Days",old
263,Customer 263,customer263@example.com,Slovenia,7/7/2023,2023,July,"2 Years, 5 Months, 4 Days",young
